IMG_1203,[124, 129, 134, 143, 148],[(24, 44, 45), (78, 88, 98), (49, 61, 68), (137, 151, 154), (9, 25, 24)]
IMG_1595,[31, 38, 43, 54, 58],[(215, 212, 203), (122, 123, 72), (181, 172, 92), (76, 90, 42), (37, 50, 15)]
IMG_1652,[4, 8, 10, 13, 148],[(101, 71, 57), (136, 104, 94), (218, 220, 222), (167, 138, 131), (40, 32, 31)]
IMG_1202,[137, 209, 209, 233, 236],[(169, 122, 173), (248, 148, 198), (121, 207, 233), (13, 6, 9), (97, 66, 99)]
IMG_1255,[14, 15, 17, 19, 156],[(43, 28, 20), (152, 110, 82), (100, 66, 46), (97, 123, 181), (215, 176, 144)]
IMG_1605,[26, 30, 30, 34, 37],[(124, 112, 82), (30, 29, 22), (75, 71, 53), (180, 159, 123), (218, 214, 204)]
IMG_1243,[12, 19, 26, 31, 146],[(51, 112, 162), (44, 28, 21), (205, 178, 134), (219, 218, 215), (163, 115, 75)]
IMG_1214,[19, 22, 26, 31, 49],[(29, 22, 16), (191, 180, 150), (234, 235, 229), (153, 131, 95), (96, 79, 59)]
IMG_1644,[14, 15, 29, 162, 182],[(28, 21, 17), (127, 66, 36), (72, 68, 82), (167, 174, 206), (191, 158, 87)]
IMG_1280,[10, 12, 14, 147, 244],[(72, 51, 44), (92, 108, 122), (193, 128, 93), (27, 19, 21), (137, 75, 50)]
IMG_1111,[220, 224, 228, 233, 233],[(228, 220, 224), (91, 73, 86), (146, 128, 137), (60, 34, 50), (30, 13, 27)]
IMG_1541,[0, 3, 4, 5, 253],[(139, 106, 101), (36, 23, 22), (76, 52, 49), (215, 191, 192), (6, 1, 1)]
IMG_1687,[5, 191, 198, 240, 251],[(141, 119, 116), (27, 25, 29), (167, 163, 169), (60, 51, 54), (97, 84, 85)]
IMG_1668,[0, 6, 13, 14, 14],[(252, 252, 252), (73, 44, 31), (33, 21, 19), (132, 83, 57), (219, 134, 89)]
IMG_1238,[0, 7, 7, 148, 152],[(182, 177, 176), (84, 98, 118), (40, 31, 29), (70, 128, 184), (245, 245, 245)]
IMG_1557,[9, 18, 19, 178, 252],[(69, 51, 52), (228, 214, 202), (119, 92, 84), (172, 149, 131), (26, 24, 34)]
IMG_1107,[1, 6, 13, 196, 233],[(55, 41, 48), (112, 73, 72), (232, 206, 194), (21, 16, 24), (173, 127, 119)]
IMG_1691,[42, 152, 157, 242, 253],[(57, 50, 52), (7, 7, 6), (219, 228, 241), (162, 173, 198), (135, 107, 108)]
IMG_1500,[0, 156, 205, 205, 230],[(78, 66, 73), (31, 26, 32), (157, 152, 158), (38, 46, 63), (131, 111, 111)]
IMG_1296,[139, 145, 150, 153, 163],[(149, 159, 163), (42, 57, 74), (84, 100, 112), (3, 4, 10), (17, 26, 40)]
IMG_1629,[0, 9, 13, 19, 237],[(134, 102, 93), (192, 155, 137), (241, 229, 219), (78, 52, 52), (27, 15, 20)]
IMG_1279,[15, 18, 37, 42, 121],[(215, 207, 150), (243, 243, 238), (84, 59, 44), (156, 120, 92), (53, 144, 131)]
IMG_1598,[155, 235, 242, 244, 246],[(24, 14, 17), (224, 149, 168), (80, 40, 48), (96, 141, 230), (123, 82, 101)]
IMG_1577,[14, 77, 141, 142, 153],[(58, 117, 150), (220, 230, 235), (172, 161, 155), (65, 70, 64), (9, 11, 14)]
IMG_1127,[13, 23, 24, 24, 184],[(199, 181, 157), (128, 98, 61), (162, 136, 100), (24, 16, 39), (81, 59, 49)]
